step,micro_step,loss,resumed_from_step
1,4,0.08494246751070023,0
2,8,0.7218586802482605,0
3,10,0.00913661066442728,0
4,14,0.0059866225346922874,0
5,18,0.10112703591585159,0
6,22,0.2872399687767029,0
7,26,0.03329432010650635,0
8,30,0.13982537388801575,0
9,34,0.022551055997610092,0
10,38,0.1607312262058258,0
11,42,0.02095409296452999,0
12,46,0.11291791498661041,0
13,50,0.21089988946914673,0
14,54,0.04776164889335632,0
15,58,0.4489825367927551,0
16,62,0.15180346369743347,0
17,66,0.39100170135498047,0
18,70,0.1480208784341812,0
19,74,0.14248700439929962,0
20,78,0.20109081268310547,0
21,82,0.4579179286956787,0
22,86,0.10520988702774048,0
23,90,0.1799037605524063,0
24,94,0.17237475514411926,0
25,98,0.031021157279610634,0
26,102,0.5662727952003479,0
27,106,0.26565954089164734,0
28,110,0.01607000268995762,0
29,114,0.3710540533065796,0
30,118,0.13141164183616638,0
31,122,0.13673684000968933,0
32,126,0.16338950395584106,0
33,130,0.43249183893203735,0
34,134,0.31335777044296265,0
35,138,0.029843781143426895,0
36,142,0.006011177320033312,0
37,146,0.08128725737333298,0
38,150,0.027666211128234863,0
39,154,0.17423011362552643,0
40,158,0.010080591775476933,0
41,162,0.010885657742619514,0
42,166,0.47752273082733154,0
43,170,0.04957804083824158,0
44,174,0.2845596969127655,0
45,178,0.095668263733387,0
46,182,0.7613666653633118,0
47,186,0.18222609162330627,0
48,190,0.2820989489555359,0
49,194,0.19496354460716248,0
50,198,0.09778983891010284,0
51,202,0.45731157064437866,0
52,206,0.008274480700492859,0
53,210,0.005927609279751778,0
54,214,0.023284398019313812,0
55,218,0.33723482489585876,0
56,222,0.20816420018672943,0
57,226,0.17339137196540833,0
58,230,0.005440438631922007,0
59,234,0.0647657960653305,0
60,238,0.439019113779068,0
61,242,0.07597647607326508,0
62,246,0.57122802734375,0
63,250,0.4321722388267517,0
64,254,0.3612392544746399,0
65,258,0.317971795797348,0
66,262,0.1541033685207367,0
67,266,0.06722410768270493,0
68,270,0.05868424102663994,0
69,274,0.1262187659740448,0
70,278,0.1370762139558792,0
71,282,0.3106718957424164,0
72,286,0.105959951877594,0
73,290,0.41052085161209106,0
74,294,0.07230082899332047,0
75,298,0.17869985103607178,0
76,302,0.1988292932510376,0
77,306,0.035463761538267136,0
78,310,0.11926832795143127,0
79,314,0.21097919344902039,0
80,318,0.454359769821167,0
81,322,0.0038576170336455107,0
82,326,0.023592177778482437,0
83,330,0.00452908780425787,0
84,334,0.33562666177749634,0
85,338,0.07351197302341461,0
86,342,0.01789005845785141,0
87,346,0.4261140823364258,0
88,350,0.005019894801080227,0
89,354,0.03721772879362106,0
90,358,0.010201903060078621,0
91,362,0.0053949300199747086,0
92,366,0.009969977661967278,0
93,370,0.5560939908027649,0
94,374,0.13951915502548218,0
95,378,0.05963459610939026,0
96,382,0.01130904071033001,0
97,386,0.08857844769954681,0
98,390,0.07004406303167343,0
99,394,0.7334508895874023,0
100,398,0.004212447442114353,0
101,402,0.18818579614162445,0
102,406,0.20077110826969147,0
103,410,0.0034191368613392115,0
104,414,0.2863713502883911,0
105,418,0.013521106913685799,0
106,422,0.03463343530893326,0
107,426,0.20221440494060516,0
108,430,0.05566010624170303,0
109,434,0.5918091535568237,0
110,438,0.14081449806690216,0
111,442,0.0678679347038269,0
112,446,0.5535707473754883,0
113,450,0.007136217318475246,0
114,454,0.020006177946925163,0
115,458,0.009293928742408752,0
116,462,0.18558324873447418,0
117,466,0.23079875111579895,0
118,470,0.005625953897833824,0
119,474,0.3521803021430969,0
