image_count,image_id,output_path,rows,columns,missing_cells,run_count,run_names
10,honai_01,results/gadang_evaluation_grids/img10/honai_01_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,honai_02,results/gadang_evaluation_grids/img10/honai_02_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,joglo_01,results/gadang_evaluation_grids/img10/joglo_01_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,joglo_02,results/gadang_evaluation_grids/img10/joglo_02_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,panjang_01,results/gadang_evaluation_grids/img10/panjang_01_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,panjang_02,results/gadang_evaluation_grids/img10/panjang_02_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,tongkonan_01,results/gadang_evaluation_grids/img10/tongkonan_01_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
10,tongkonan_02,results/gadang_evaluation_grids/img10/tongkonan_02_grid.png,27,12,0,9,20260616_110755_img10_lr1em4_rank4_steps2000|20260616_124613_img10_lr1em4_rank8_steps2000|20260616_142718_img10_lr1em4_rank16_steps2000|20260616_162025_img10_lr2em4_rank4_steps2000|20260616_182112_img10_lr2em4_rank8_steps2000|20260616_202358_img10_lr2em4_rank16_steps2000|20260616_060708_img10_lr5em5_rank4_steps2000|20260616_074753_img10_lr5em5_rank8_steps2000|20260616_092859_img10_lr5em5_rank16_steps2000
25,honai_01,results/gadang_evaluation_grids/img25/honai_01_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,honai_02,results/gadang_evaluation_grids/img25/honai_02_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,joglo_01,results/gadang_evaluation_grids/img25/joglo_01_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,joglo_02,results/gadang_evaluation_grids/img25/joglo_02_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,panjang_01,results/gadang_evaluation_grids/img25/panjang_01_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,panjang_02,results/gadang_evaluation_grids/img25/panjang_02_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,tongkonan_01,results/gadang_evaluation_grids/img25/tongkonan_01_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
25,tongkonan_02,results/gadang_evaluation_grids/img25/tongkonan_02_grid.png,27,12,0,9,20260617_043614_img25_lr1em4_rank4_steps2000|20260617_062554_img25_lr1em4_rank8_steps2000|20260617_081602_img25_lr1em4_rank16_steps2000|20260617_234928_img25_lr2em4_rank4_steps2000|20260618_033424_img25_lr2em4_rank8_steps2000|20260618_052057_img25_lr2em4_rank16_steps2000|20260616_224114_img25_lr5em5_rank4_steps2000|20260617_003701_img25_lr5em5_rank8_steps2000|20260617_022844_img25_lr5em5_rank16_steps2000
50,honai_01,results/gadang_evaluation_grids/img50/honai_01_grid.png,21,12,27,7,20260618_122745_img50_lr1em4_rank4_steps2000|20260618_141631_img50_lr1em4_rank8_steps2000|20260618_160439_img50_lr1em4_rank16_steps2000|20260618_175517_img50_lr2em4_rank4_steps2000|20260618_070608_img50_lr5em5_rank4_steps2000|20260618_085100_img50_lr5em5_rank8_steps2000|20260618_103740_img50_lr5em5_rank16_steps2000
50,honai_02,results/gadang_evaluation_grids/img50/honai_02_grid.png,21,12,27,7,20260618_122745_img50_lr1em4_rank4_steps2000|20260618_141631_img50_lr1em4_rank8_steps2000|20260618_160439_img50_lr1em4_rank16_steps2000|20260618_175517_img50_lr2em4_rank4_steps2000|20260618_070608_img50_lr5em5_rank4_steps2000|20260618_085100_img50_lr5em5_rank8_steps2000|20260618_103740_img50_lr5em5_rank16_steps2000
50,joglo_01,results/gadang_evaluation_grids/img50/joglo_01_grid.png,21,12,27,7,20260618_122745_img50_lr1em4_rank4_steps2000|20260618_141631_img50_lr1em4_rank8_steps2000|20260618_160439_img50_lr1em4_rank16_steps2000|20260618_175517_img50_lr2em4_rank4_steps2000|20260618_070608_img50_lr5em5_rank4_steps2000|20260618_085100_img50_lr5em5_rank8_steps2000|20260618_103740_img50_lr5em5_rank16_steps2000
50,joglo_02,results/gadang_evaluation_grids/img50/joglo_02_grid.png,21,12,27,7,20260618_122745_img50_lr1em4_rank4_steps2000|20260618_141631_img50_lr1em4_rank8_steps2000|20260618_160439_img50_lr1em4_rank16_steps2000|20260618_175517_img50_lr2em4_rank4_steps2000|20260618_070608_img50_lr5em5_rank4_steps2000|20260618_085100_img50_lr5em5_rank8_steps2000|20260618_103740_img50_lr5em5_rank16_steps2000
